query,prediction,ground_truth,f1_score,exact_match
"চার্লসটন, দক্ষিণ ক্যারোলিনা কোন কাউন্টিতে অবস্থিত?  ","

চার্লসটন কাউন্টির কাউন্টি আসন এ",চার্লসটন আমেরিকা য,0.25,0
চার্লসটন কোন বন্দরে অবস্থিত?  ,"

চার্লসটন হারবারে",চার্লসটন আমেরিকা য,0.4,0
চার্লসটন হারবার কোন মহাসাগরের খাঁড়ি?  ,"

আটলান্টিক মহাসাগরের",আটলান্টিক মহাসাগরের ,1.0,1
কোপার নদীর সাথে কোন নদী মিশে গিয়ে চার্লস্টন হারবার গঠন করে?  ,"

অ্যাশলে এ",অ্যাশলে এবং ক,0.4,0
চার্লসটন কোন কাউন্টিতে অবস্থিত?  ,"

চার্লসটন কাউন্টির কাউন্টি আসন এ",চার্লসটন আমেরিকা য,0.25,0
চার্লসটন হারবার কোন সমুদ্রের উপর গঠিত?  ,"

আটলান্টিক মহাসাগরের",আটলান্টিক মহাসাগরের ,1.0,1
চার্লসটন হারবার থেকে অ্যাশলে নদীর সাথে কোন নদী মিশে গেছে?  ,"

কুপার ন",কুপার নদীর ,0.5,0
চার্লসটন কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭০৭০",১৭০৭০০ ,0.0,0
চার্লস্টনের আসল নাম কী ছিল?  ,"

চার্লস টাউন হ",চার্লসের স,0.0,0
চার্লস টাউনটির নামকরণ করা হয়েছিল কোন রাজার নামে?  ,"

চার্লসের",ইংল্যান্ডের দ্বিতীয় রাজা চ,0.0,0
শহরটি মূলত কোথায় ছিল?  ,"

ওয়েস্টার পয়েন্টে",আলবেমারল পয়েন্ট ন,0.4,0
২০১০ সালে চার্লস্টনের জনসংখ্যা কত ছিল?  ,"

১২০,০৮৩","১২০,০৮৩। ",1.0,1
চার্লসটন মূলত কোন বছর প্রতিষ্ঠিত হয়েছিল?  ,"

১৭০৭০",১৭০৭০০ ,0.0,0
চার্লস্টনের মূল নাম কী ছিল?  ,"

চার্লস টাউন হ",চার্লসের স,0.0,0
চার্লস টাউন কে নামকরণ করা হয়েছিল?  ,"

চার্লসের",ইংল্যান্ডের দ্বিতীয় রাজা চ,0.0,0
২০১০ সালে চার্লস্টনে কত লোক বাস করত?  ,"

১২০,০৮৩","১২০,০৮৩। ",1.0,1
চার্লস্টনের প্রথম অবস্থানটি কোথায় ছিল?  ,"

অ্যাসলে নদীর পশ্চিম তীরে আলবেমারল পয়েন্ট ন",আলবেমারল পয়েন্ট ন,0.6,0
"চার্লসটন, দক্ষিণ ক্যারোলিনা কত বড়?  ","

মার্কিন যুক্তরাষ্ট্রের আদমশুমারি ব্যুরো অ","১২৭.৫ বর্গমাইল ৩৩০.২ কিমি ২, ",0.0,0
