query,prediction,ground_truth,f1_score,exact_match,similarity_score,sas_score
"চার্লসটন, দক্ষিণ ক্যারোলিনা কোন কাউন্টিতে অবস্থিত?  ","

চার্লসটন কাউন্টির",চার্লসটন আমেরিকা য,0.4,0,0.9577429294586182,0.8169622421264648
চার্লসটন কোন বন্দরে অবস্থিত?  ,"

আটলান্টিক মহাসাগরের একটি খাঁটি চার্লস্টন হারবারে অ",চার্লসটন আমেরিকা য,0.2,0,0.9193487167358398,0.7459225058555603
চার্লসটন হারবার কোন মহাসাগরের খাঁড়ি?  ,"

আটলান্টিক মহাসাগরের একটি খাঁটি চার্লস্টন হারবারে",আটলান্টিক মহাসাগরের ,0.5,0,0.9145199656486511,0.8388062119483948
কোপার নদীর সাথে কোন নদী মিশে গিয়ে চার্লস্টন হারবার গঠন করে?  ,"

অ্যাশলে এ",অ্যাশলে এবং ক,0.4,0,0.9433372020721436,0.8493638634681702
চার্লসটন কোন কাউন্টিতে অবস্থিত?  ,"

চার্লসটন কাউন্টির",চার্লসটন আমেরিকা য,0.4,0,0.9577429294586182,0.8169622421264648
চার্লসটন হারবার কোন সমুদ্রের উপর গঠিত?  ,"

আটলান্টিক মহাসাগরের",আটলান্টিক মহাসাগরের ,1.0,1,1.0000001192092896,1.0
চার্লসটন হারবার থেকে অ্যাশলে নদীর সাথে কোন নদী মিশে গেছে?  ,"

কুপার নদীর",কুপার নদীর ,1.0,1,0.9999998807907104,0.9999998807907104
চার্লসটন কোন সালে প্রতিষ্ঠিত হয়েছিল?  ,"

১৭০৭০০ স",১৭০৭০০ ,0.6666666666666666,0,0.987775444984436,0.9135435819625854
চার্লস্টনের আসল নাম কী ছিল?  ,"

চার্লস টাউন হ",চার্লসের স,0.0,0,0.9679970741271973,0.8442516326904297
চার্লস টাউনটির নামকরণ করা হয়েছিল কোন রাজার নামে?  ,"

চার্লসের",ইংল্যান্ডের দ্বিতীয় রাজা চ,0.0,0,0.9168946146965027,0.6628355979919434
শহরটি মূলত কোথায় ছিল?  ,"

অ্যাসলে নদীর পশ্চিম তীরে আলবেমারল পয়েন্ট ন",আলবেমারল পয়েন্ট ন,0.6,0,0.8763913512229919,0.8605364561080933
২০১০ সালে চার্লস্টনের জনসংখ্যা কত ছিল?  ,"

১২০,০৮৩।","১২০,০৮৩। ",1.0,1,1.0,0.9999999403953552
